2017-04-19T23:04:21.103-0400 I NETWORK  [conn2] received client metadata from 127.0.0.1:55402 conn2: { driver: { name: "nodejs", version: "2.2.26" }, os: { type: "Darwin", name: "darwin", architecture: "x64", version: "16.4.0" }, platform: "Node.js v7.8.0, LE, mongodb-core: 2.1.10" }
2017-04-19T23:04:21.142-0400 I -        [conn2] end connection 127.0.0.1:55402 (1 connection now open)
2017-04-19T23:05:58.463-0400 I NETWORK  [thread1] connection accepted from 127.0.0.1:55408 #3 (1 connection now open)
2017-04-19T23:05:58.469-0400 I NETWORK  [conn3] received client metadata from 127.0.0.1:55408 conn3: { driver: { name: "nodejs", version: "2.2.26" }, os: { type: "Darwin", name: "darwin", architecture: "x64", version: "16.4.0" }, platform: "Node.js v7.8.0, LE, mongodb-core: 2.1.10" }
2017-04-19T23:05:58.483-0400 I -        [conn3] end connection 127.0.0.1:55408 (1 connection now open)
2017-04-19T23:06:32.752-0400 I NETWORK  [thread1] connection accepted from 127.0.0.1:55409 #4 (1 connection now open)
2017-04-19T23:06:32.752-0400 I NETWORK  [conn4] received client metadata from 127.0.0.1:55409 conn4: { application: { name: "MongoDB Shell" }, driver: { name: "MongoDB Internal Client", version: "3.4.3" }, os: { type: "Darwin", name: "Mac OS X", architecture: "x86_64", version: "16.4.0" } }
2017-04-19T23:18:09.446-0400 I -        [conn4] end connection 127.0.0.1:55409 (1 connection now open)
2017-04-19T23:18:49.802-0400 I NETWORK  [thread1] connection accepted from 127.0.0.1:55489 #5 (1 connection now open)
2017-04-19T23:18:49.802-0400 I NETWORK  [conn5] received client metadata from 127.0.0.1:55489 conn5: { driver: { name: "nodejs", version: "2.2.26" }, os: { type: "Darwin", name: "darwin", architecture: "x64", version: "16.4.0" }, platform: "Node.js v7.8.0, LE, mongodb-core: 2.1.10" }
2017-04-19T23:18:49.805-0400 I -        [conn5] end connection 127.0.0.1:55489 (1 connection now open)
2017-04-19T23:19:27.563-0400 I NETWORK  [thread1] connection accepted from 127.0.0.1:55493 #6 (1 connection now open)
2017-04-19T23:19:27.564-0400 I NETWORK  [conn6] received client metadata from 127.0.0.1:55493 conn6: { driver: { name: "nodejs", version: "2.2.26" }, os: { type: "Darwin", name: "darwin", architecture: "x64", version: "16.4.0" }, platform: "Node.js v7.8.0, LE, mongodb-core: 2.1.10" }
2017-04-19T23:19:27.566-0400 I -        [conn6] end connection 127.0.0.1:55493 (1 connection now open)
2017-04-19T23:19:36.738-0400 I NETWORK  [thread1] connection accepted from 127.0.0.1:55494 #7 (1 connection now open)
2017-04-19T23:19:36.738-0400 I NETWORK  [conn7] received client metadata from 127.0.0.1:55494 conn7: { application: { name: "MongoDB Shell" }, driver: { name: "MongoDB Internal Client", version: "3.4.3" }, os: { type: "Darwin", name: "Mac OS X", architecture: "x86_64", version: "16.4.0" } }
2017-04-20T01:09:55.764-0400 I -        [conn7] end connection 127.0.0.1:55494 (1 connection now open)
2017-04-23T20:50:06.896-0400 I NETWORK  [thread1] connection accepted from 127.0.0.1:50397 #8 (1 connection now open)
2017-04-23T20:50:06.903-0400 I NETWORK  [conn8] received client metadata from 127.0.0.1:50397 conn8: { application: { name: "MongoDB Shell" }, driver: { name: "MongoDB Internal Client", version: "3.4.3" }, os: { type: "Darwin", name: "Mac OS X", architecture: "x86_64", version: "16.4.0" } }
2017-04-23T20:56:23.363-0400 I -        [conn8] end connection 127.0.0.1:50397 (1 connection now open)
2017-04-23T20:56:43.739-0400 I NETWORK  [thread1] connection accepted from 127.0.0.1:50416 #9 (1 connection now open)
2017-04-23T20:56:43.746-0400 I NETWORK  [conn9] received client metadata from 127.0.0.1:50416 conn9: { driver: { name: "nodejs", version: "2.2.26" }, os: { type: "Darwin", name: "darwin", architecture: "x64", version: "16.4.0" }, platform: "Node.js v7.8.0, LE, mongodb-core: 2.1.10" }
2017-04-23T20:56:43.753-0400 I -        [conn9] end connection 127.0.0.1:50416 (1 connection now open)
2017-04-23T20:57:43.368-0400 I NETWORK  [thread1] connection accepted from 127.0.0.1:50417 #10 (1 connection now open)
2017-04-23T20:57:43.369-0400 I NETWORK  [conn10] received client metadata from 127.0.0.1:50417 conn10: { application: { name: "MongoDB Shell" }, driver: { name: "MongoDB Internal Client", version: "3.4.3" }, os: { type: "Darwin", name: "Mac OS X", architecture: "x86_64", version: "16.4.0" } }
2017-04-23T20:57:43.851-0400 I -        [conn10] end connection 127.0.0.1:50417 (1 connection now open)
2017-04-23T20:57:47.735-0400 I NETWORK  [thread1] connection accepted from 127.0.0.1:50420 #11 (1 connection now open)
2017-04-23T20:57:47.740-0400 I NETWORK  [conn11] received client metadata from 127.0.0.1:50420 conn11: { driver: { name: "nodejs", version: "2.2.26" }, os: { type: "Darwin", name: "darwin", architecture: "x64", version: "16.4.0" }, platform: "Node.js v7.8.0, LE, mongodb-core: 2.1.10" }
2017-04-23T20:57:47.786-0400 I -        [conn11] end connection 127.0.0.1:50420 (1 connection now open)
2017-04-23T20:57:53.663-0400 I NETWORK  [thread1] connection accepted from 127.0.0.1:50421 #12 (1 connection now open)
2017-04-23T20:57:53.663-0400 I NETWORK  [conn12] received client metadata from 127.0.0.1:50421 conn12: { application: { name: "MongoDB Shell" }, driver: { name: "MongoDB Internal Client", version: "3.4.3" }, os: { type: "Darwin", name: "Mac OS X", architecture: "x86_64", version: "16.4.0" } }
2017-04-23T20:58:19.884-0400 I NETWORK  [thread1] connection accepted from 127.0.0.1:50425 #13 (2 connections now open)
2017-04-23T20:58:19.885-0400 I NETWORK  [conn13] received client metadata from 127.0.0.1:50425 conn13: { driver: { name: "nodejs", version: "2.2.26" }, os: { type: "Darwin", name: "darwin", architecture: "x64", version: "16.4.0" }, platform: "Node.js v7.8.0, LE, mongodb-core: 2.1.10" }
2017-04-23T20:58:19.891-0400 I -        [conn13] end connection 127.0.0.1:50425 (2 connections now open)
2017-04-23T21:02:06.485-0400 I -        [conn12] end connection 127.0.0.1:50421 (1 connection now open)
2017-04-23T21:02:07.437-0400 I NETWORK  [thread1] connection accepted from 127.0.0.1:50444 #14 (1 connection now open)
2017-04-23T21:02:07.437-0400 I NETWORK  [conn14] received client metadata from 127.0.0.1:50444 conn14: { application: { name: "MongoDB Shell" }, driver: { name: "MongoDB Internal Client", version: "3.4.3" }, os: { type: "Darwin", name: "Mac OS X", architecture: "x86_64", version: "16.4.0" } }
2017-04-23T21:03:01.261-0400 I NETWORK  [thread1] connection accepted from 127.0.0.1:50450 #15 (2 connections now open)
2017-04-23T21:03:01.267-0400 I NETWORK  [conn15] received client metadata from 127.0.0.1:50450 conn15: { driver: { name: "nodejs", version: "2.2.26" }, os: { type: "Darwin", name: "darwin", architecture: "x64", version: "16.4.0" }, platform: "Node.js v7.8.0, LE, mongodb-core: 2.1.10" }
2017-04-23T21:03:01.277-0400 I -        [conn15] end connection 127.0.0.1:50450 (2 connections now open)
2017-04-23T21:03:36.427-0400 I NETWORK  [thread1] connection accepted from 127.0.0.1:50453 #16 (2 connections now open)
2017-04-23T21:03:36.432-0400 I NETWORK  [conn16] received client metadata from 127.0.0.1:50453 conn16: { driver: { name: "nodejs", version: "2.2.26" }, os: { type: "Darwin", name: "darwin", architecture: "x64", version: "16.4.0" }, platform: "Node.js v7.8.0, LE, mongodb-core: 2.1.10" }
2017-04-23T21:03:36.440-0400 I -        [conn16] end connection 127.0.0.1:50453 (2 connections now open)
2017-04-23T21:04:02.934-0400 I NETWORK  [thread1] connection accepted from 127.0.0.1:50464 #17 (2 connections now open)
2017-04-23T21:04:02.940-0400 I NETWORK  [conn17] received client metadata from 127.0.0.1:50464 conn17: { driver: { name: "nodejs", version: "2.2.26" }, os: { type: "Darwin", name: "darwin", architecture: "x64", version: "16.4.0" }, platform: "Node.js v7.8.0, LE, mongodb-core: 2.1.10" }
2017-04-23T21:04:02.949-0400 I -        [conn17] end connection 127.0.0.1:50464 (2 connections now open)
2017-04-23T21:06:13.209-0400 I NETWORK  [thread1] connection accepted from 127.0.0.1:50476 #18 (2 connections now open)
2017-04-23T21:06:13.213-0400 I NETWORK  [conn18] received client metadata from 127.0.0.1:50476 conn18: { driver: { name: "nodejs", version: "2.2.26" }, os: { type: "Darwin", name: "darwin", architecture: "x64", version: "16.4.0" }, platform: "Node.js v7.8.0, LE, mongodb-core: 2.1.10" }
2017-04-23T21:06:13.234-0400 I -        [conn18] end connection 127.0.0.1:50476 (2 connections now open)
2017-04-23T21:06:19.911-0400 I NETWORK  [thread1] connection accepted from 127.0.0.1:50477 #19 (2 connections now open)
2017-04-23T21:06:19.913-0400 I NETWORK  [conn19] received client metadata from 127.0.0.1:50477 conn19: { driver: { name: "nodejs", version: "2.2.26" }, os: { type: "Darwin", name: "darwin", architecture: "x64", version: "16.4.0" }, platform: "Node.js v7.8.0, LE, mongodb-core: 2.1.10" }
2017-04-23T21:06:19.919-0400 I -        [conn19] end connection 127.0.0.1:50477 (2 connections now open)
2017-04-23T21:06:27.479-0400 I NETWORK  [thread1] connection accepted from 127.0.0.1:50478 #20 (2 connections now open)
2017-04-23T21:06:27.480-0400 I NETWORK  [conn20] received client metadata from 127.0.0.1:50478 conn20: { driver: { name: "nodejs", version: "2.2.26" }, os: { type: "Darwin", name: "darwin", architecture: "x64", version: "16.4.0" }, platform: "Node.js v7.8.0, LE, mongodb-core: 2.1.10" }
2017-04-23T21:06:27.489-0400 I -        [conn20] end connection 127.0.0.1:50478 (2 connections now open)
2017-04-23T21:06:34.980-0400 I NETWORK  [thread1] connection accepted from 127.0.0.1:50479 #21 (2 connections now open)
2017-04-23T21:06:34.981-0400 I NETWORK  [conn21] received client metadata from 127.0.0.1:50479 conn21: { driver: { name: "nodejs", version: "2.2.26" }, os: { type: "Darwin", name: "darwin", architecture: "x64", version: "16.4.0" }, platform: "Node.js v7.8.0, LE, mongodb-core: 2.1.10" }
2017-04-23T21:06:34.982-0400 I -        [conn21] end connection 127.0.0.1:50479 (2 connections now open)
2017-04-23T21:06:57.663-0400 I NETWORK  [thread1] connection accepted from 127.0.0.1:50483 #22 (2 connections now open)
2017-04-23T21:06:57.669-0400 I NETWORK  [conn22] received client metadata from 127.0.0.1:50483 conn22: { driver: { name: "nodejs", version: "2.2.26" }, os: { type: "Darwin", name: "darwin", architecture: "x64", version: "16.4.0" }, platform: "Node.js v7.8.0, LE, mongodb-core: 2.1.10" }
2017-04-23T21:06:57.684-0400 I -        [conn22] end connection 127.0.0.1:50483 (2 connections now open)
2017-04-23T21:07:02.009-0400 I NETWORK  [thread1] connection accepted from 127.0.0.1:50484 #23 (2 connections now open)
2017-04-23T21:07:02.011-0400 I NETWORK  [conn23] received client metadata from 127.0.0.1:50484 conn23: { driver: { name: "nodejs", version: "2.2.26" }, os: { type: "Darwin", name: "darwin", architecture: "x64", version: "16.4.0" }, platform: "Node.js v7.8.0, LE, mongodb-core: 2.1.10" }
2017-04-23T21:07:02.016-0400 I -        [conn23] end connection 127.0.0.1:50484 (2 connections now open)
2017-04-23T21:07:52.855-0400 I NETWORK  [thread1] connection accepted from 127.0.0.1:50485 #24 (2 connections now open)
2017-04-23T21:07:52.857-0400 I NETWORK  [conn24] received client metadata from 127.0.0.1:50485 conn24: { driver: { name: "nodejs", version: "2.2.26" }, os: { type: "Darwin", name: "darwin", architecture: "x64", version: "16.4.0" }, platform: "Node.js v7.8.0, LE, mongodb-core: 2.1.10" }
